asset,strategy,period,cagr,max_dd,sharpe,n_trades,cum_return,buyhold_cum_return,beats_buyhold
LQQ,mean_reversion,2013-2015,0.16100815416204517,-0.28967142546485336,0.7720293104251509,42,0.5742678925073659,2.4597660597033952,False
LQQ,mean_reversion,2016-2019,0.0682234058185498,-0.3026986669234766,0.3979485772466632,58,0.30723731109518404,2.1298682063401833,False
LQQ,mean_reversion,2020 (crash+recupero),-0.1767317784943112,-0.4944858610201158,-0.3096320637832591,12,-0.17990231688447333,0.694479616647649,False
LQQ,mean_reversion,2021-2022 (bear),-0.30258848897770096,-0.6102877412603068,-0.8527474918033823,29,-0.5212085371557509,-0.2876107907388886,False
LQQ,mean_reversion,2023-oggi,0.2502586021415205,-0.35750208758393587,1.0086521224869238,57,1.3005137966324787,3.6298293076312786,False
LQQ,momentum,2013-2015,0.11560470488859198,-0.32502835720185264,0.602036201439236,49,0.39449301214138455,2.4597660597033952,False
LQQ,momentum,2016-2019,0.06741897631829419,-0.30965718796102415,0.42878908991004844,51,0.3032456368350176,2.1298682063401833,False
LQQ,momentum,2020 (crash+recupero),0.3845310766249068,-0.2285150837999117,1.091263344712006,13,0.3934979474348159,0.694479616647649,False
LQQ,momentum,2021-2022 (bear),0.09650895888110211,-0.19960282037517407,0.561382256804597,24,0.20717694438950662,-0.2876107907388886,True
LQQ,momentum,2023-oggi,0.17356211640399533,-0.2768289815270857,0.8150513120885707,55,0.8166393506510472,3.6298293076312786,False
LQQ,vol_target,2013-2015,0.219619157240718,-0.11489715610448892,1.2903501994786961,739,0.828497239788953,2.4597660597033952,False
LQQ,vol_target,2016-2019,0.1500514517914675,-0.1845656053768866,0.9286256566730884,984,0.7639375501761974,2.1298682063401833,False
LQQ,vol_target,2020 (crash+recupero),0.21876295164219783,-0.17364881889312944,1.2520305912550793,257,0.22355639384381232,0.694479616647649,False
LQQ,vol_target,2021-2022 (bear),-0.019994371230101726,-0.2772864860806973,-0.03762042161497087,515,-0.040435305779319974,-0.2876107907388886,True
LQQ,vol_target,2023-oggi,0.2067276029421461,-0.1864093156387019,1.2279338791643013,940,1.015651495593505,3.6298293076312786,False
LQQ,sma_underlying_200,2013-2015,0.45745248687628237,-0.2183451243089115,1.4809425705431944,7,2.142498349970018,2.4597660597033952,False
LQQ,sma_underlying_200,2016-2019,0.31656558506374677,-0.19307961343521396,1.1958771155441037,27,2.054074778179525,2.1298682063401833,False
LQQ,sma_underlying_200,2020 (crash+recupero),0.6864069221583837,-0.3523490123149099,1.349402889700265,5,0.7039843350562986,0.694479616647649,True
LQQ,sma_underlying_200,2021-2022 (bear),0.18602705135342346,-0.2169456827970817,0.7948618976070231,6,0.41717498301214007,-0.2876107907388886,True
LQQ,sma_underlying_200,2023-oggi,0.46939971064169494,-0.25135802442002864,1.3714180049549667,9,3.2020241454589744,3.6298293076312786,False
QQQ3,mean_reversion,2013-2015,0.38740109178573423,-0.358328532755364,1.1444226392194394,52,1.6810133534524407,3.1508784592089443,False
QQQ3,mean_reversion,2016-2019,0.15371916857814338,-0.34881943276616834,0.5878999592191845,64,0.774760361088924,3.8301833451583445,False
QQQ3,mean_reversion,2020 (crash+recupero),-0.39299635335511807,-0.6274708037455801,-0.6766024462021657,14,-0.39539658457810156,1.2328815050865543,False
