Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2010-03-18,12.664600372314453,12.664600372314453,12.664600372314453,12.664600372314453,0,0.0,0.0,0.0
2010-03-19,12.535499572753906,12.535499572753906,12.535499572753906,12.535499572753906,0,0.0,0.0,0.0
2010-03-22,12.662699699401855,12.662699699401855,12.662699699401855,12.662699699401855,0,0.0,0.0,0.0
2010-03-23,12.84589958190918,12.84589958190918,12.84589958190918,12.84589958190918,0,0.0,0.0,0.0
2010-03-24,12.70479965209961,12.70479965209961,12.70479965209961,12.70479965209961,0,0.0,0.0,0.0
2010-03-25,12.661299705505371,12.661299705505371,12.661299705505371,12.661299705505371,0,0.0,0.0,0.0
2010-03-26,12.679699897766113,12.679699897766113,12.679699897766113,12.679699897766113,0,0.0,0.0,0.0
2010-03-29,12.82610034942627,12.82610034942627,12.82610034942627,12.82610034942627,0,0.0,0.0,0.0
2010-03-30,12.828900337219238,12.828900337219238,12.828900337219238,12.828900337219238,0,0.0,0.0,0.0
2010-03-31,12.744999885559082,12.744999885559082,12.744999885559082,12.744999885559082,0,0.0,0.0,0.0
2010-04-01,12.934100151062012,12.934100151062012,12.934100151062012,12.934100151062012,0,0.0,0.0,0.0
2010-04-06,13.182299613952637,13.182299613952637,13.182299613952637,13.182299613952637,0,0.0,0.0,0.0
2010-04-07,13.035300254821777,13.035300254821777,13.035300254821777,13.035300254821777,0,0.0,0.0,0.0
2010-04-08,13.123499870300293,13.123499870300293,13.123499870300293,13.123499870300293,0,0.0,0.0,0.0
2010-04-09,13.298500061035156,13.298500061035156,13.298500061035156,13.298500061035156,0,0.0,0.0,0.0
2010-04-12,13.344799995422363,13.344799995422363,13.344799995422363,13.344799995422363,0,0.0,0.0,0.0
2010-04-13,13.3641996383667,13.3641996383667,13.3641996383667,13.3641996383667,0,0.0,0.0,0.0
2010-04-14,13.66189956665039,13.66189956665039,13.66189956665039,13.66189956665039,0,0.0,0.0,0.0
2010-04-15,13.684599876403809,13.684599876403809,13.684599876403809,13.684599876403809,0,0.0,0.0,0.0
2010-04-16,13.243300437927246,13.243300437927246,13.243300437927246,13.243300437927246,0,0.0,0.0,0.0
2010-04-19,13.362199783325195,13.362199783325195,13.362199783325195,13.362199783325195,0,0.0,0.0,0.0
2010-04-20,13.577300071716309,13.577300071716309,13.577300071716309,13.577300071716309,0,0.0,0.0,0.0
2010-04-21,13.549500465393066,13.549500465393066,13.549500465393066,13.549500465393066,0,0.0,0.0,0.0
2010-04-22,13.61139965057373,13.61139965057373,13.61139965057373,13.61139965057373,0,0.0,0.0,0.0
2010-04-23,13.804699897766113,13.804699897766113,13.804699897766113,13.804699897766113,0,0.0,0.0,0.0
2010-04-26,13.685500144958496,13.685500144958496,13.685500144958496,13.685500144958496,0,0.0,0.0,0.0
2010-04-27,13.045900344848633,13.045900344848633,13.045900344848633,13.045900344848633,0,0.0,0.0,0.0
2010-04-28,13.217300415039062,13.217300415039062,13.217300415039062,13.217300415039062,0,0.0,0.0,0.0
2010-04-29,13.56029987335205,13.56029987335205,13.56029987335205,13.56029987335205,0,0.0,0.0,0.0
2010-04-30,13.10890007019043,13.10890007019043,13.10890007019043,13.10890007019043,0,0.0,0.0,0.0
2010-05-04,12.810700416564941,12.810700416564941,12.810700416564941,12.810700416564941,0,0.0,0.0,0.0
2010-05-05,12.64229965209961,12.64229965209961,12.64229965209961,12.64229965209961,0,0.0,0.0,0.0
2010-05-06,11.833100318908691,11.833100318908691,11.833100318908691,11.833100318908691,0,0.0,0.0,0.0
2010-05-07,11.471199989318848,11.471199989318848,11.471199989318848,11.471199989318848,0,0.0,0.0,0.0
2010-05-10,12.470000267028809,12.470000267028809,12.470000267028809,12.470000267028809,0,0.0,0.0,0.0
2010-05-11,12.479999542236328,12.479999542236328,12.479999542236328,12.479999542236328,0,0.0,0.0,0.0
2010-05-12,12.569999694824219,12.569999694824219,12.569999694824219,12.569999694824219,0,0.0,0.0,0.0
2010-05-13,12.699999809265137,12.699999809265137,12.699999809265137,12.699999809265137,0,0.0,0.0,0.0
2010-05-14,12.220000267028809,12.579999923706055,12.220000267028809,11.930000305175781,120000,0.0,0.0,0.0
2010-05-17,12.369999885559082,12.369999885559082,12.149999618530273,11.8100004196167,20001,0.0,0.0,0.0
2010-05-18,12.069999694824219,12.069999694824219,12.069999694824219,12.069999694824219,0,0.0,0.0,0.0
2010-05-19,11.720000267028809,11.729999542236328,11.720000267028809,11.350000381469727,84589,0.0,0.0,0.0
2010-05-20,11.029999732971191,11.029999732971191,11.029999732971191,11.029999732971191,0,0.0,0.0,0.0
2010-05-21,10.850000381469727,10.850000381469727,10.850000381469727,10.850000381469727,0,0.0,0.0,0.0
2010-05-24,10.949999809265137,10.949999809265137,10.9399995803833,10.890000343322754,4000,0.0,0.0,0.0
2010-05-25,10.25,10.25,10.25,10.25,0,0.0,0.0,0.0
2010-05-26,10.829999923706055,10.829999923706055,10.829999923706055,10.829999923706055,0,0.0,0.0,0.0
2010-05-27,10.979999542236328,11.069999694824219,10.979999542236328,11.0600004196167,4000,0.0,0.0,0.0
2010-05-28,11.210000038146973,11.210000038146973,11.210000038146973,11.09000015258789,8000,0.0,0.0,0.0
2010-06-01,10.979999542236328,10.979999542236328,10.979999542236328,10.979999542236328,0,0.0,0.0,0.0
2010-06-02,10.829999923706055,10.829999923706055,10.829999923706055,10.829999923706055,0,0.0,0.0,0.0
2010-06-03,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0,0.0,0.0,0.0
2010-06-04,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,0,0.0,0.0,0.0
